|ー`).。oo(・・・),5,5,5993,記号,一般,*,*,*,*,|ー`).。oo(・・・)
|∀・).。oo(・・・),5,5,5993,記号,一般,*,*,*,*,|∀・).。oo(・・・)
( ́ー`).。oo(・・・・・・・・・),5,5,5122,記号,一般,*,*,*,*,( ́ー`).。oo(・・・・・・・・・)
(゚д゚)ノ ァィ,5,5,6261,記号,一般,*,*,*,*,(゚д゚)ノ ァィ
(=゚ω゚)ノぃょぅ,5,5,6297,記号,一般,*,*,*,*,(=゚ω゚)ノぃょぅ
( ・∀・)ノィョーゥ,5,5,6067,記号,一般,*,*,*,*,( ・∀・)ノィョーゥ
( ゚∀゚)ノィョーゥ,5,5,6067,記号,一般,*,*,*,*,( ゚∀゚)ノィョーゥ
(  ́�`)ノィョーゥ,5,5,6057,記号,一般,*,*,*,*,(  ́�`)ノィョーゥ
(・ω・)ノ■ ッパ,5,5,6297,記号,一般,*,*,*,*,(・ω・)ノ■ ッパ
(・ω・)ノ■ いっしょにおかしをたべませんか?,5,5,5122,記号,一般,*,*,*,*,(・ω・)ノ■ いっしょにおかしをたべませんか?
(;゚д゚)アッ....,5,5,6057,記号,一般,*,*,*,*,(;゚д゚)アッ....
( ́ι _` )アッソ,5,5,6057,記号,一般,*,*,*,*,( ́ι _` )アッソ
冫、  ,5,5,6303,記号,一般,*,*,*,*,冫、  
(* ́∀`*)アッタカーイ,5,5,6099,記号,一般,*,*,*,*,(* ́∀`*)アッタカーイ
アッチ(・∀・)イケ!!,5,5,6057,記号,一般,*,*,*,*,アッチ(・∀・)イケ!!
(∩ ゚д゚)アーアーきこえなーい,5,5,5984,記号,一般,*,*,*,*,(∩ ゚д゚)アーアーきこえなーい
(  ́ー`)†あーみん。,5,5,5993,記号,一般,*,*,*,*,(  ́ー`)†あーみん。
"・・・(,,゚д゚)†",5,5,6067,記号,一般,*,*,*,*,"・・・(,,゚д゚)†"
( メ∀・),5,5,7130,記号,一般,*,*,*,*,( メ∀・)
(_ ́д`) アイーン,5,5,6057,記号,一般,*,*,*,*,(_ ́д`) アイーン
<丶`д ́>アイゴー,5,5,6067,記号,一般,*,*,*,*,<丶`д ́>アイゴー
凸=3 アイヨー,5,5,6314,記号,一般,*,*,*,*,凸=3 アイヨー
σ(・д・ノ)ノ アウッ,5,5,6057,記号,一般,*,*,*,*,σ(・д・ノ)ノ アウッ
σ(`∀ ́ノ)ノ アウッ,5,5,5993,記号,一般,*,*,*,*,σ(`∀ ́ノ)ノ アウッ
( ゚ρ゚ )アゥー,5,5,6297,記号,一般,*,*,*,*,( ゚ρ゚ )アゥー
ヽ( ́д`;)ノアゥア...,5,5,5982,記号,一般,*,*,*,*,ヽ( ́д`;)ノアゥア...
(_д_)アウアウアー,5,5,6067,記号,一般,*,*,*,*,(_д_)アウアウアー
( _。д ゚)アウアウアー,5,5,6099,記号,一般,*,*,*,*,( _。д ゚)アウアウアー
⊂ミ⊃^ω^ )⊃ アウアウ!!,5,5,5709,記号,一般,*,*,*,*,⊂ミ⊃^ω^ )⊃ アウアウ!!
( ゚д゚)アキタヨ...,5,5,5993,記号,一般,*,*,*,*,( ゚д゚)アキタヨ...
∩゚∀゚∩age,5,5,6314,記号,一般,*,*,*,*,∩゚∀゚∩age
( ́∀`∩)↑age↑,5,5,6057,記号,一般,*,*,*,*,( ́∀`∩)↑age↑
(ー@∀@),5,5,7130,記号,一般,*,*,*,*,(ー@∀@)
ヽ(ー@∀@)ノ デッチage,5,5,5982,記号,一般,*,*,*,*,ヽ(ー@∀@)ノ デッチage
(; ́∀`),5,5,6682,記号,一般,*,*,*,*,(; ́∀`)
(;・∀・),5,5,7130,記号,一般,*,*,*,*,(;・∀・)
(; ́д`),5,5,6682,記号,一般,*,*,*,*,(; ́д`)
(;゚д゚),5,5,7130,記号,一般,*,*,*,*,(;゚д゚)
(;^ω^),5,5,7130,記号,一般,*,*,*,*,(;^ω^)
アタヽ(д`ヽ彡ノ ́д)ノフタ,5,5,5709,記号,一般,*,*,*,*,アタヽ(д`ヽ彡ノ ́д)ノフタ
∧_∧,5,5,8179,記号,一般,*,*,*,*,∧_∧
(ノ∀`)アチャー,5,5,6261,記号,一般,*,*,*,*,(ノ∀`)アチャー
(  ゚́д゚`)アチャー,5,5,5993,記号,一般,*,*,*,*,(  ゚́д゚`)アチャー
(; ́д`)ゞ アチィー!!,5,5,5982,記号,一般,*,*,*,*,(; ́д`)ゞ アチィー!!
(゚a゚;)アツー,5,5,6261,記号,一般,*,*,*,*,(゚a゚;)アツー
(υ ́д`)アツー,5,5,5968,記号,一般,*,*,*,*,(υ ́д`)アツー
ι( ́д`υ)アツィー,5,5,6057,記号,一般,*,*,*,*,ι( ́д`υ)アツィー
アトチョト( ゚д゚)ヤン,5,5,5993,記号,一般,*,*,*,*,アトチョト( ゚д゚)ヤン
(゚*゚)アナルー,5,5,6261,記号,一般,*,*,*,*,(゚*゚)アナルー
ヽ(・*・)ノアナルー,5,5,6067,記号,一般,*,*,*,*,ヽ(・*・)ノアナルー
(  ́_ゝ`),5,5,6314,記号,一般,*,*,*,*,(  ́_ゝ`)
(* ́д`*)アハァ,5,5,6067,記号,一般,*,*,*,*,(* ́д`*)アハァ
σ(゚д`*;)アッ、アハァ?,5,5,5982,記号,一般,*,*,*,*,σ(゚д`*;)アッ、アハァ?
σ(*゚д`;)ア...ア...アッハァァァァァァァァ?!!,5,5,5122,記号,一般,*,*,*,*,σ(*゚д`;)ア...ア...アッハァァァァァァァァ?!!
"ァ '`,、'`,、('∀`) '`,、'`,、",5,5,5122,記号,一般,*,*,*,*,"ァ '`,、'`,、('∀`) '`,、'`,、"
( ゚∀゚)アハハ八八ノヽノヽノヽノ \ / \/ \,5,5,5122,記号,一般,*,*,*,*,( ゚∀゚)アハハ八八ノヽノヽノヽノ \ / \/ \
(゚∀゚),5,5,7532,記号,一般,*,*,*,*,(゚∀゚)
(゚∀゚)アヒャ,5,5,6314,記号,一般,*,*,*,*,(゚∀゚)アヒャ
ヘ(゚∀゚ヘ)アヒャ,5,5,6297,記号,一般,*,*,*,*,ヘ(゚∀゚ヘ)アヒャ
( ・∀・)アヒャ,5,5,6261,記号,一般,*,*,*,*,( ・∀・)アヒャ
( ゚∀。)ワヒャヒャヒャヒャヒャヒャ,5,5,5122,記号,一般,*,*,*,*,( ゚∀。)ワヒャヒャヒャヒャヒャヒャ
アッヒャッヒャ!ヽ(゚∀゚)ノアッヒャッヒャ!,5,5,5122,記号,一般,*,*,*,*,アッヒャッヒャ!ヽ(゚∀゚)ノアッヒャッヒャ!
ω_(゚∀゚ )≡ モヒョヒョヒョヒョ ヽ(a`*)ノ≡ コラァァァ!! カエセヨー!!!!,5,5,5122,記号,一般,*,*,*,*,ω_(゚∀゚ )≡ モヒョヒョヒョヒョ ヽ(a`*)ノ≡ コラァァァ!! カエセヨー!!!!
 アブネーσ(゚д゚;)ー!!,5,5,5982,記号,一般,*,*,*,*, アブネーσ(゚д゚;)ー!!
アボーン( ́・ェ・`),5,5,6057,記号,一般,*,*,*,*,アボーン( ́・ェ・`)
αβοοη..._φ(゚∀゚ )アヒャ,5,5,5122,記号,一般,*,*,*,*,αβοοη..._φ(゚∀゚ )アヒャ
(・∀・)アマー,5,5,6314,記号,一般,*,*,*,*,(・∀・)アマー
ぁゃιぃ,5,5,7704,記号,一般,*,*,*,*,ぁゃιぃ
( ́・∀・` )アラマァ,5,5,5993,記号,一般,*,*,*,*,( ́・∀・` )アラマァ
σ(゚д゚;)アラマッ,5,5,6067,記号,一般,*,*,*,*,σ(゚д゚;)アラマッ
( ゚д゚)アライヤダ!!,5,5,5993,記号,一般,*,*,*,*,( ゚д゚)アライヤダ!!
(゚д゚ )アラヤダ!!,5,5,6057,記号,一般,*,*,*,*,(゚д゚ )アラヤダ!!
( ゚д ゚)<あらやだ!,5,5,5993,記号,一般,*,*,*,*,( ゚д ゚)<あらやだ!
σ(゚д゚ υ) アリャ,5,5,6057,記号,一般,*,*,*,*,σ(゚д゚ υ) アリャ
(tдt)アリガトウ,5,5,6297,記号,一般,*,*,*,*,(tдt)アリガトウ
アリガタマキン (  ́∀`)ノ⌒ω)д`)ブニュ,5,5,5122,記号,一般,*,*,*,*,アリガタマキン (  ́∀`)ノ⌒ω)д`)ブニュ
あ(・∀・)り(・∀・)が(・∀・)と(・∀・)う!,5,5,5122,記号,一般,*,*,*,*,あ(・∀・)り(・∀・)が(・∀・)と(・∀・)う!
アリガトチャー(  ́∀`)ーン!!!!,5,5,5122,記号,一般,*,*,*,*,アリガトチャー(  ́∀`)ーン!!!!
ありがトン,5,5,7532,記号,一般,*,*,*,*,ありがトン
 ヽ(冫、)ノ アルァ!!,5,5,5993,記号,一般,*,*,*,*, ヽ(冫、)ノ アルァ!!
(・3・)アルェー,5,5,1973,記号,一般,*,*,*,*,(・3・)アルェー
(((( ;゚д゚))))アワワワワ,5,5,5122,記号,一般,*,*,*,*,(((( ;゚д゚))))アワワワワ
アワ((゚゚дд゚゚ ))ワワ!!,5,5,5984,記号,一般,*,*,*,*,アワ((゚゚дд゚゚ ))ワワ!!
アワワ ヽ( ́д`;≡; ́д`)丿 アワワ,5,5,5122,記号,一般,*,*,*,*,アワワ ヽ( ́д`;≡; ́д`)丿 アワワ
( ^×^)アンタモネー,5,5,6057,記号,一般,*,*,*,*,( ^×^)アンタモネー
ヽ(ill゚д゚)ノ アンビリバーボ,5,5,5122,記号,一般,*,*,*,*,ヽ(ill゚д゚)ノ アンビリバーボ
